2020-04-27 23:04:17 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:440 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-27 23:04:565 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-28 00:04:65 INFO  AddCustomerPage :30 -  Enter first name: Severus05 in the field [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 00:04:258 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 00:04:533 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 00:04:680 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:714 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> css selector: button.btn.btn-default]
2020-04-28 00:04:887 INFO  HomePage :28 -  Click on Home button: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //button[contains(text(),'Home')]]
2020-04-28 00:04:248 INFO  HomePage :42 -  Click on CustomerLogin tab: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 00:04:33 INFO  CustomerLoginPage :29 -  Search customer: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> id: userSelect]
2020-04-28 00:04:247 INFO  CustomerLoginPage :36 -  Search customer: [[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> id: userSelect]
2020-04-28 00:04:973 INFO  AccountPage :46 -  Verify text: Logout is displayed[[ChromeDriver: chrome on WINDOWS (b99aaf1c273ff4ab2b98c740ecaad2ae)] -> xpath: //button[contains(text(),'Logout')]]
2020-04-28 00:04:28 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-28 00:04:709 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 00:04:357 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:797 INFO  AddCustomerPage :30 -  Enter first name: Severus76 in the field [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 00:04:57 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 00:04:280 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 00:04:426 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:615 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> css selector: button.btn.btn-default]
2020-04-28 00:04:825 INFO  HomePage :28 -  Click on Home button: [[ChromeDriver: chrome on WINDOWS (4632e02fc30fa0c82e5064b413474573)] -> xpath: //button[contains(text(),'Home')]]
2020-04-28 00:04:460 INFO  BrowserSelector :21 - Chrome Browser Selected
2020-04-28 00:04:985 INFO  HomePage :35 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 00:04:488 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:271 INFO  AddCustomerPage :30 -  Enter first name: Severus69 in the field [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 00:04:448 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 00:04:685 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 00:04:839 INFO  BankManagerLoginPage :26 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 00:04:45 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> css selector: button.btn.btn-default]
2020-04-28 00:04:275 INFO  BankManagerLoginPage :33 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-28 00:04:190 INFO  OpenAccountPage :36 -  Select Currency from drop down: [[ChromeDriver: chrome on WINDOWS (8ad1b4cb8ce8e8df1153b0e7159209f8)] -> id: currency]
